BAIRRO,TIPO,OCORRENCIA
CASA AMARELA,PEDESTRE,ATROPELAMENTO
MADALENA,PEDESTRE,ATROPELAMENTO
CAXANGÁ,PEDESTRE,ATROPELAMENTO
IBURA,PEDESTRE,ATROPELAMENTO
IPUTINGA,PEDESTRE,ATROPELAMENTO
IMBIRIBEIRA,PEDESTRE,ATROPELAMENTO
SANTO ANTÔNIO,PEDESTRE,ATROPELAMENTO
TORRÕES,PEDESTRE,ATROPELAMENTO
BARRO,PEDESTRE,ATROPELAMENTO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
JIQUIÁ,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
SÃO JOSÉ,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,AUTOMÓVEL,COLISÃO
BONGI,AUTOMÓVEL,ATROPELAMENTO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
AFOGADOS,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,ATROPELAMENTO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
TORRE,AUTOMÓVEL,COLISÃO
IPSEP,AUTOMÓVEL,COLISÃO
ESPINHEIRO,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
SÃO JOSÉ,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
CAMPO GRANDE,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
CASA FORTE,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
CASA AMARELA,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
IPSEP,AUTOMÓVEL,COLISÃO
CABANGA,AUTOMÓVEL,COLISÃO
CAMPO GRANDE,CICLISTA,COLISÃO
CAXANGÁ,CICLISTA,COLISÃO
BOA VIAGEM,CICLISTA,COLISÃO
MADALENA,CICLISTA,COLISÃO
TORRÕES,CICLISTA,COLISÃO
BOA VIAGEM,CICLOMOTOR,COLISÃO
LINHA DO TIRO,CICLOMOTOR,COLISÃO
SAN MARTIN,CICLOMOTOR,ATROPELAMENTO
CABANGA,MOTOCICLETA,COLISÃO
CAXANGÁ,MOTOCICLETA,ATROPELAMENTO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
CAXANGÁ,MOTOCICLETA,COLISÃO
ESTÂNCIA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
HIPÓDROMO,MOTOCICLETA,COLISÃO
